x,y,z
-10.039602,88.600004,-6.217361
-10.450749,104.800010,-6.213771
-8.346290,100.100005,-6.209449
-9.972212,82.100004,-6.207431
-10.195398,82.100004,-6.207098
-6.702981,100.000000,-6.204565
-6.975546,100.000000,-6.204364
-11.569440,104.600000,-6.200723
-5.928459,85.000002,-6.200378
-4.244621,99.900007,-6.199825
-4.517107,99.900007,-6.199693
-17.252144,104.600000,-6.193373
-8.049399,99.800003,-6.191078
-3.510235,69.300002,-6.189024
-13.588353,109.400010,-6.185558
-7.226340,99.700004,-6.185543
-7.498032,99.700004,-6.185328
-9.264923,104.300010,-6.185205
-7.769697,99.700004,-6.185105
-10.116952,104.300010,-6.184406
-10.602781,81.800002,-6.183735
-9.539812,104.200006,-6.179015
-9.814122,104.100001,-6.172819
-11.797335,104.100001,-6.170771
-3.138731,99.400002,-6.169237
-8.955012,104.000008,-6.167665
-3.948262,99.300003,-6.162711
53.389060,232.600021,-6.162232
-2.125814,81.400001,-6.161816
-2.204240,84.400004,-6.158857
-12.339857,103.900003,-6.158274
-3.673676,99.200004,-6.156619
-1.835856,78.500003,-6.156315
-3.396192,99.000007,-6.144313
-8.638364,103.600001,-6.144187
-9.735595,78.400004,-6.140796
-2.044217,87.400001,-6.139591
52.556717,231.700015,-6.138873
-2.853111,98.900002,-6.138294
54.433697,231.700015,-6.137417
-2.215103,94.700003,-6.136001
-5.803473,103.400004,-6.134355
-7.578741,90.900004,-6.134208
-18.184972,114.000010,-6.130219
-6.079525,103.299999,-6.128253
-8.050478,103.299999,-6.126859
-8.331928,103.299999,-6.126631
-7.761475,103.200006,-6.121149
55.516267,231.000018,-6.117905
56.139618,231.000018,-6.117419
-11.976053,103.200006,-6.117106
-18.445544,113.700008,-6.113680
-3.576231,70.600003,-6.112823
-5.500150,103.000009,-6.110785
54.821515,230.700016,-6.110444
-7.465741,103.000009,-6.109500
-17.812955,113.600004,-6.109113
53.483021,230.300021,-6.100816
-16.242462,113.400006,-6.100296
-16.550393,113.400006,-6.099918
-8.521795,90.400004,-6.099465
-6.330378,102.800000,-6.098414
-11.630382,107.800007,-6.097001
-9.245329,83.600003,-6.094475
-16.843407,113.300002,-6.094155
-7.164091,102.700007,-6.091911
-1.863670,90.200007,-6.090432
-17.443055,113.200009,-6.087998
56.492579,229.900002,-6.087805
-5.198989,102.600002,-6.087206
-11.315995,107.600009,-6.085985
59.566665,229.800010,-6.082748
-11.012898,107.500005,-6.080617
-15.878272,113.000000,-6.079149
-13.060074,107.500005,-6.078462
-17.105550,113.000000,-6.077633
-4.348800,77.500004,-6.076511
-2.557149,97.900003,-6.076310
82.558382,230.100012,-6.075105
-6.584913,102.400005,-6.074503
-6.864052,102.400005,-6.074312
-15.557548,112.900007,-6.074136
58.844519,229.400015,-6.072640
-3.815120,68.000001,-6.072620
48.231161,229.000020,-6.070184
-15.237311,112.800002,-6.069116
58.149809,229.100013,-6.065178
83.032906,229.700017,-6.064231
-14.917572,112.700009,-6.064091
-10.690363,107.200003,-6.063930
60.002792,229.100013,-6.063741
-4.899990,102.200007,-6.063619
-7.194988,86.300004,-6.058946
-8.604894,86.300004,-6.057417
-11.835207,107.000005,-6.051454
57.381296,228.500009,-6.049773
-14.266881,112.400007,-6.048640
-14.572395,112.400007,-6.048297
-3.495779,101.900005,-6.046421
-3.773777,101.900005,-6.046317
-6.911295,82.900006,-6.046114
-4.607675,101.900005,-6.045955
-17.648405,107.000005,-6.044265
