x,y,z
44.269377,84.400004,-7.494214
4.042637,102.700007,-7.493677
43.802732,84.400004,-7.492691
33.519715,75.300002,-7.490661
1.799545,102.600002,-7.487199
43.053243,84.300005,-7.481737
29.812664,75.200003,-7.481216
30.421686,75.200003,-7.480779
32.783815,73.200005,-7.480098
27.552465,69.500005,-7.478531
27.927738,69.500005,-7.478249
8.505181,102.500010,-7.475635
8.466972,98.800004,-7.474661
35.269624,75.100005,-7.472695
30.189174,77.200001,-7.471578
34.365374,77.200001,-7.470641
28.979966,73.100001,-7.470171
2.910679,102.300000,-7.464976
37.478262,81.700003,-7.464501
47.696042,76.500005,-7.463554
29.531002,75.000006,-7.461492
37.654442,81.600004,-7.455587
36.403576,74.900001,-7.455031
30.734241,77.000004,-7.451694
36.978614,79.200006,-7.451306
40.845501,74.700004,-7.451094
33.110139,79.200006,-7.449453
40.428981,74.700004,-7.449074
42.617917,83.900005,-7.445602
45.074430,78.800005,-7.442456
30.901906,76.900005,-7.441868
44.186646,83.800006,-7.441736
28.449222,64.300001,-7.440925
28.075475,72.800004,-7.440267
45.295829,83.700001,-7.437280
37.119249,81.400001,-7.436892
41.360980,74.500006,-7.434403
28.997472,76.800001,-7.434002
30.622989,74.700004,-7.430823
36.070016,173.500013,-7.430711
33.548427,72.700006,-7.429987
45.474532,83.600003,-7.429369
32.165119,72.700006,-7.428747
36.020735,76.700002,-7.424136
34.976378,76.700002,-7.422891
36.497045,173.300004,-7.421576
28.585830,72.600001,-7.419243
45.317620,76.200002,-7.416029
-6.501999,105.599999,-7.415976
1.504796,101.600003,-7.414283
44.681564,78.500003,-7.412815
33.973345,74.500006,-7.411730
44.901463,83.400005,-7.409683
-5.632951,105.500007,-7.409560
36.761981,81.100005,-7.409304
33.542269,70.600003,-7.408097
35.009974,172.900009,-7.406140
36.364305,74.400002,-7.405714
34.677175,76.500005,-7.403348
29.157892,65.500003,-7.402568
-5.914992,105.400002,-7.402343
34.594867,72.400004,-7.401180
3.714887,101.400006,-7.398955
33.203411,68.700004,-7.396048
45.488903,83.200002,-7.394821
33.922881,78.600001,-7.392947
44.146332,71.800005,-7.391688
32.970306,72.300005,-7.388657
37.501565,76.300001,-7.388523
-6.190582,105.200005,-7.388096
-6.764136,105.200005,-7.387665
7.583048,105.200005,-7.386988
33.342877,68.600005,-7.385721
34.442306,172.400010,-7.385281
7.862229,105.100000,-7.379711
44.713476,85.700005,-7.376365
44.240120,85.700005,-7.374928
35.538262,78.400004,-7.374925
27.680048,70.300001,-7.374489
44.455442,83.000004,-7.373238
34.173819,80.700004,-7.372004
34.392202,80.700004,-7.371987
44.898009,85.600007,-7.368517
44.836965,78.000003,-7.368232
44.372889,85.500002,-7.358420
43.901065,85.500002,-7.357041
41.881862,82.900006,-7.356257
30.404049,68.300003,-7.349125
43.614382,85.400003,-7.347788
30.120105,78.100002,-7.347686
34.214634,70.000005,-7.347187
33.829287,80.400002,-7.344633
-4.548169,100.600004,-7.340128
43.328443,85.300004,-7.338561
7.247810,104.500008,-7.338078
35.128844,171.200013,-7.332765
30.412212,73.700005,-7.331263
39.984322,73.500001,-7.330388
45.927784,79.900002,-7.330263
43.043253,85.200006,-7.329363
43.963629,80.000001,-7.328744
8.012487,93.500006,-7.328389
37.226769,80.200005,-7.327911
35.099930,77.900004,-7.327728
29.556975,63.300002,-7.327152
44.871303,85.100001,-7.326258
-4.426900,104.200006,-7.318929
43.676764,82.400006,-7.318225
34.259045,69.700003,-7.316174
39.977562,80.000001,-7.314692
34.197655,85.100001,-7.313963
34.427369,85.100001,-7.313817
3.124273,100.200009,-7.311632
-5.274342,104.100001,-7.311416
-5.349786,100.200009,-7.310428
43.852022,82.300001,-7.310184
33.444637,80.000001,-7.308142
31.828272,71.500003,-7.306243
-4.252566,100.100005,-7.303800
35.386601,77.600002,-7.299852
34.267551,79.900002,-7.298904
4.940132,103.900003,-7.297565
5.223468,103.900003,-7.297394
29.688677,75.400001,-7.297185
29.892117,75.400001,-7.297012
8.485234,93.100005,-7.296446
-4.793750,100.000000,-7.296187
-5.611756,100.000000,-7.295646
8.055549,103.900003,-7.295193
29.588783,63.000005,-7.292742
43.538055,75.000006,-7.291724
29.679781,77.500004,-7.291465
6.067504,103.800011,-7.289805
35.568649,75.300002,-7.288930
43.724295,77.200001,-7.288805
-5.061372,99.900007,-7.288720
-5.878499,99.900007,-7.288152
34.534964,84.800005,-7.287904
45.864725,79.400003,-7.285739
3.384042,99.800003,-7.282329
6.909697,103.700006,-7.282135
33.808336,84.700006,-7.279743
33.244196,71.200001,-7.277210
42.507556,84.600002,-7.277181
-4.966494,103.600001,-7.276469
5.490883,103.600001,-7.276145
6.338244,103.600001,-7.275552
0.374464,96.100003,-7.275005
45.359117,79.300004,-7.273906
30.020007,77.300006,-7.272208
35.865760,79.600006,-7.272106
44.951761,81.800002,-7.271403
32.106841,77.300006,-7.270804
34.168026,71.100003,-7.268664
1.203416,99.600005,-7.268380
6.614261,103.500009,-7.268315
-4.674918,103.400004,-7.262585
5.762214,103.400004,-7.261910
41.101235,81.800002,-7.258078
31.760016,75.000006,-7.257362
8.691770,92.600006,-7.256955
25.852928,79.200006,-7.244171
-4.098960,103.100002,-7.241808
44.140562,86.900002,-7.240604
45.925289,84.000003,-7.237764
42.580119,76.700002,-7.236958
45.691139,84.000003,-7.236789
2.087655,103.000009,-7.235532
2.368679,103.000009,-7.235456
32.791024,81.600004,-7.234044
33.011308,81.600004,-7.233904
33.231643,81.600004,-7.233777
45.058671,76.500005,-7.233600
33.397520,76.900005,-7.233084
44.524029,84.000003,-7.232359
29.606685,72.700006,-7.231971
29.157752,65.500003,-7.225204
34.880960,86.800003,-7.225102
35.115251,86.800003,-7.224955
44.277665,86.700004,-7.224549
43.800467,86.700004,-7.223356
4.607475,102.800000,-7.220463
34.436026,84.000003,-7.219034
45.348999,83.800006,-7.218616
44.465214,86.600006,-7.216850
-5.707888,106.900001,-7.216496
33.262643,83.900005,-7.211155
27.395216,62.300003,-7.209362
44.652417,86.500007,-7.209175
-19.377989,225.000000,-7.208642
35.268146,86.600006,-7.208174
45.939890,83.600003,-7.204299
44.665420,76.200002,-7.203753
30.463088,72.400004,-7.201786
45.008227,83.600003,-7.200477
2.636831,102.500010,-7.200249
41.825435,83.700001,-7.199228
33.288056,81.200004,-7.198205
34.261343,76.500005,-7.195896
39.111865,78.700006,-7.195310
44.160751,73.900002,-7.193778
44.787371,86.300004,-7.193190
44.722363,83.500004,-7.190984
32.371226,81.100005,-7.189871
36.761817,81.100005,-7.189702
26.658908,81.000006,-7.188949
44.973606,86.200005,-7.185563
43.310934,86.200005,-7.181144
32.646868,78.600001,-7.180315
32.835498,178.900003,-7.180282
30.454987,76.300001,-7.177413
34.407237,86.200005,-7.175318
35.338032,86.200005,-7.174762
44.384009,83.300006,-7.172911
1.790838,102.100003,-7.172375
-3.780710,102.100003,-7.171699
-18.664892,223.800015,-7.170485
45.107052,86.000001,-7.169627
-5.960083,106.200004,-7.169054
33.264169,178.600013,-7.167719
33.300030,76.200002,-7.167295
32.278538,178.500009,-7.164747
-6.046163,98.200005,-7.163925
45.292339,85.900003,-7.162050
31.777084,178.400004,-7.161245
31.136337,74.000001,-7.160623
-6.526842,106.000006,-7.155152
-6.231978,105.900002,-7.148607
31.361467,76.000005,-7.148602
8.170070,101.800001,-7.147481
8.398701,98.000002,-7.147157
44.099194,75.600004,-7.145600
36.316189,80.600005,-7.145225
44.338793,77.900004,-7.144235
25.704035,78.100002,-7.143136
46.136728,75.400001,-7.142649
31.205925,177.900004,-7.141682
31.914523,80.500007,-7.136845
-3.485050,101.600003,-7.136702
36.708659,80.500007,-7.136681
32.228115,78.100002,-7.134716
-6.796506,105.700004,-7.134689
32.681942,83.000004,-7.133984
40.176919,80.400002,-7.133322
41.198125,82.900006,-7.129912
45.318285,85.500002,-7.129484
-3.884139,97.700006,-7.128824
43.951750,73.200005,-7.127251
33.936799,85.600007,-7.125545
-4.482277,105.500007,-7.122641
42.724383,85.500002,-7.122301
4.268173,101.400006,-7.122280
29.602790,75.700003,-7.121487
30.011219,75.700003,-7.121131
30.419829,75.700003,-7.120827
45.621133,82.600003,-7.119142
42.492834,75.400001,-7.117670
31.935117,77.900004,-7.116539
35.320607,73.500001,-7.115716
26.026174,66.100001,-7.112828
39.639732,85.400003,-7.109194
-5.335318,105.300009,-7.108662
26.295552,62.900001,-7.108178
31.683975,77.800006,-7.107510
43.652764,75.200003,-7.106403
45.395529,85.200006,-7.105278
40.989164,85.300004,-7.102615
1.497443,101.100004,-7.102183
39.825621,85.300004,-7.101109
35.199499,85.300004,-7.099751
31.433430,77.700001,-7.098495
26.536331,71.300006,-7.095143
33.407691,176.800013,-7.094960
35.879150,88.100004,-7.094539
36.117059,88.100004,-7.094420
28.672323,75.400001,-7.094122
30.516493,176.700008,-7.094009
44.388619,75.000006,-7.093257
30.247229,73.300004,-7.093056
37.172136,82.500005,-7.090280
27.120098,82.400006,-7.089974
45.524892,85.000002,-7.089435
37.453201,69.200003,-7.088587
45.985177,74.800003,-7.087605
35.600856,88.000005,-7.086620
40.660614,85.100001,-7.085619
34.021112,71.200001,-7.085599
36.652347,79.900002,-7.083675
29.649481,75.300002,-7.083673
32.970980,79.900002,-7.082867
45.081145,79.600006,-7.082407
28.783828,69.300002,-7.081101
30.724996,77.500004,-7.080668
35.323155,87.900007,-7.078714
46.598300,84.800005,-7.077353
46.361688,84.800005,-7.076375
-17.211339,220.800018,-7.074911
45.889238,84.800005,-7.074507
26.016569,79.700005,-7.073990
2.865254,100.700009,-7.073713
45.653391,84.800005,-7.073616
30.559936,73.100001,-7.073575
45.278889,74.700004,-7.072873
44.007662,72.600001,-7.072150
42.191553,84.900004,-7.071822
40.624794,82.200003,-7.069228
43.909967,79.500002,-7.067966
33.430272,84.900004,-7.067458
46.070948,84.700006,-7.067083
34.681469,73.000002,-7.066610
37.331903,84.900004,-7.066276
3.960110,100.600004,-7.066226
31.382358,79.700005,-7.066096
46.382535,81.900007,-7.064326
46.770647,76.800001,-7.063866
30.854294,77.300006,-7.062235
46.550074,76.800001,-7.062160
36.189964,87.700003,-7.062104
31.062925,77.300006,-7.062087
46.724716,84.600002,-7.061668
-4.726820,93.300003,-7.061457
36.862150,75.000006,-7.059369
45.134395,79.300004,-7.056917
33.923423,79.600006,-7.056018
46.096021,81.800002,-7.054535
29.640168,70.900005,-7.052615
39.776292,84.700006,-7.051418
45.408055,81.800002,-7.051230
-4.720286,104.400003,-7.048228
0.108749,93.100005,-7.047907
34.454247,87.500006,-7.047019
34.926307,87.500006,-7.046661
42.474937,76.900005,-7.045772
35.997856,77.100003,-7.044909
0.902656,96.500003,-7.042191
43.618423,72.300005,-7.041255
34.650603,87.400001,-7.038780
36.679399,81.900007,-7.038587
33.796382,81.900007,-7.038461
47.595024,78.900003,-7.038354
41.761029,84.500003,-7.038029
30.319038,77.000004,-7.035159
30.196151,72.700006,-7.034925
40.202910,81.800002,-7.034374
36.926979,84.500003,-7.032930
25.605625,68.800002,-7.032616
-3.160531,100.100005,-7.031449
31.988823,81.800002,-7.031032
41.567484,74.500006,-7.030459
44.464070,76.600003,-7.030147
36.496726,87.300003,-7.029729
34.010220,79.300004,-7.029420
46.739259,84.200007,-7.029314
40.095770,84.400004,-7.027017
36.746711,68.600005,-7.025328
35.284287,84.400004,-7.024682
35.512480,84.400004,-7.024624
-3.283777,104.000008,-7.021873
36.546743,79.200006,-7.021821
36.219242,87.200004,-7.021752
35.470307,79.200006,-7.020983
29.165772,62.100005,-7.020311
33.207878,74.600005,-7.017054
37.296659,84.300005,-7.016408
36.648595,87.100005,-7.013564
36.102185,81.600004,-7.012603
41.382015,84.200007,-7.012594
40.690711,84.200007,-7.011383
47.189072,78.600001,-7.009980
-4.126928,103.800011,-7.008009
-4.976247,103.800011,-7.007565
34.350783,76.700002,-7.007033
29.736185,66.800004,-7.006847
40.382168,87.000006,-7.006783
38.019446,87.000006,-7.005477
43.269998,76.400006,-7.005472
45.014662,78.700006,-7.004748
47.578788,78.500003,-7.004321
3.652732,99.700004,-7.003137
45.529997,81.200004,-7.001666
-3.677278,92.500007,-7.001512
37.892911,84.100002,-7.000080
34.940296,74.400002,-6.999981
40.572393,86.900002,-6.998961
33.059675,76.600003,-6.997462
36.897641,81.400001,-6.995887
36.234537,81.400001,-6.995508
-3.553771,103.600001,-6.994754
33.833495,66.600001,-6.993999
25.476411,63.400000,-6.993495
32.849362,84.000003,-6.992732
45.246568,81.100005,-6.991951
34.890020,84.000003,-6.991461
43.458292,69.700003,-6.990673
38.167301,86.800003,-6.989422
46.696043,83.700001,-6.988627
35.748988,81.300002,-6.986748
36.722109,68.200004,-6.985243
45.521703,73.700005,-6.985185
39.629346,83.900005,-6.985092
41.661549,86.700004,-6.984318
38.715115,83.900005,-6.984109
29.157704,70.200002,-6.983036
29.727355,70.200002,-6.982924
32.449195,68.300003,-6.981710
36.714756,86.700004,-6.981310
24.700958,76.300001,-6.979336
27.028596,72.100002,-6.979303
41.477212,71.800005,-6.979276
30.776343,78.700006,-6.977624
32.688478,78.700006,-6.976411
32.901222,78.700006,-6.976345
40.668288,86.600006,-6.975052
1.811946,103.299999,-6.975036
37.530211,83.800006,-6.974986
37.302780,83.800006,-6.974881
44.651753,86.500007,-6.974587
29.966688,81.100005,-6.972804
26.564279,64.800000,-6.972232
29.837611,76.300001,-6.971386
45.986921,80.800003,-6.970628
45.006788,78.300005,-6.970398
47.560614,78.100002,-6.970307
30.377209,74.100006,-6.969973
48.388210,80.600005,-6.968594
41.329202,86.500007,-6.967873
-3.821569,103.200006,-6.967628
29.127264,72.000003,-6.967553
29.516223,72.000003,-6.967343
44.838583,86.400002,-6.967182
36.350593,83.700001,-6.966309
25.492680,60.200006,-6.966008
44.361886,86.400002,-6.965891
-6.917053,103.200006,-6.965724
44.123846,86.400002,-6.965283
43.886006,86.400002,-6.964699
46.762452,83.400005,-6.964663
40.858179,83.600003,-6.962200
27.589121,61.600006,-6.961951
48.558557,80.500007,-6.961545
-2.974088,103.100002,-6.961209
34.748334,71.900004,-6.961191
34.355238,71.900004,-6.960461
32.539251,74.000001,-6.960431
33.029881,78.500003,-6.958567
41.159287,71.600002,-6.958538
38.929087,86.400002,-6.957586
43.597832,86.300004,-6.956080
41.327822,73.700005,-6.956062
38.962278,78.400004,-6.955379
30.110681,80.900002,-6.955328
3.086963,99.000007,-6.954195
44.972897,86.200005,-6.951737
44.586000,75.700003,-6.951711
40.998086,86.300004,-6.951451
37.849393,83.500004,-6.950279
37.479734,86.300004,-6.949076
49.305129,75.200003,-6.949024
2.085698,102.900004,-6.947964
40.532193,83.400005,-6.945144
29.515347,76.000005,-6.944172
