x,y,z
37.082991,82.300001,-8.410179
39.223552,84.500003,-8.407381
43.750107,82.100004,-8.406837
42.178130,84.400004,-8.403420
35.874256,80.100006,-8.402084
40.559065,84.400004,-8.399653
43.991452,86.600006,-8.389699
43.934864,84.200007,-8.389510
8.003530,107.000005,-8.387743
38.901129,84.300005,-8.387197
47.106248,84.000003,-8.385047
40.433997,86.600006,-8.382073
37.170708,82.000005,-8.379721
39.543310,84.200007,-8.378174
39.313740,84.200007,-8.377843
48.885676,83.800006,-8.377139
37.938911,84.200007,-8.376335
40.859076,86.500007,-8.373073
44.127852,86.400002,-8.371051
40.576160,86.400002,-8.363043
39.533785,81.800002,-8.363003
37.213278,79.700005,-8.361867
33.537048,75.800002,-8.361232
38.193473,81.800002,-8.360615
37.970552,81.800002,-8.360302
43.601516,86.300004,-8.359937
37.620604,84.000003,-8.356266
43.257189,81.600004,-8.354652
40.058783,86.300004,-8.352733
39.823776,86.300004,-8.352453
43.313920,86.200005,-8.349583
38.031772,83.900005,-8.346685
43.656805,81.500006,-8.346417
40.555352,81.600004,-8.345252
46.647394,83.600003,-8.343790
4.768319,106.400001,-8.343288
44.212016,86.100006,-8.342741
46.179146,83.600003,-8.341243
39.497143,86.100006,-8.332841
46.357608,83.500004,-8.332518
49.304420,83.300006,-8.332321
42.977080,86.000001,-8.329571
40.857622,86.000001,-8.325048
41.548747,83.600003,-8.323153
42.647523,81.300002,-8.322069
34.366056,73.600006,-8.320013
36.456317,81.400001,-8.318032
29.687768,75.400001,-8.317664
38.350546,83.600003,-8.317292
48.724258,85.600007,-8.316165
41.044712,85.900003,-8.315766
40.354922,83.500004,-8.310537
41.231403,85.800004,-8.306509
39.126119,85.800004,-8.303574
43.695754,83.300006,-8.300715
45.725590,83.200002,-8.300119
42.591831,85.700005,-8.299908
44.191468,85.600007,-8.295074
38.381812,85.700005,-8.293331
38.149127,85.700005,-8.293186
41.134039,88.100004,-8.288636
48.313338,85.300004,-8.285593
3.868478,105.599999,-8.281039
41.321036,85.500002,-8.277912
38.381925,76.800001,-8.271418
37.433004,74.900001,-8.269891
37.332430,80.900002,-8.268032
36.405474,74.900001,-8.267009
31.239513,78.800005,-8.265959
38.711512,85.400003,-8.264653
38.479427,85.400003,-8.264466
44.175419,82.900006,-8.263669
43.945366,82.900006,-8.262698
44.691518,85.200006,-8.258826
44.455788,85.200006,-8.257957
4.144683,105.300009,-8.257363
44.220269,85.200006,-8.257119
44.352135,82.800007,-8.254702
37.739572,85.300004,-8.254354
8.163247,105.300009,-8.254188
50.186837,82.400006,-8.253685
46.448272,80.400002,-8.253054
34.143347,76.700002,-8.252971
41.186348,87.700003,-8.251322
40.708348,87.700003,-8.250709
2.132017,105.200005,-8.250345
44.740000,87.600005,-8.249737
4.427652,105.200005,-8.249361
6.371024,109.000003,-8.249110
44.498727,87.600005,-8.249024
42.450860,80.500007,-8.241088
44.930139,87.500006,-8.241061
40.423408,87.600005,-8.241030
41.344354,78.400004,-8.238926
43.966496,87.500006,-8.238270
37.758294,82.800007,-8.237465
5.766087,108.800006,-8.234408
6.062722,108.800006,-8.234196
6.655921,108.800006,-8.233742
49.828807,82.200003,-8.231646
40.139133,87.500006,-8.231373
44.769266,84.900004,-8.230643
38.750336,78.400004,-8.229948
