x,y,z
-5.056454,111.8,-3.583599
-2.003752,111.70001,-3.580951
-4.747185,111.70001,-3.58047
-4.434465,111.5,-3.574132
-2.300359,111.3,-3.568094
-4.122819,111.3,-3.567788
-3.812247,111.100006,-3.56144
3.786809,121.40001,-3.56039
-3.50591,111.0,-3.558292
-2.594774,110.90001,-3.555232
-2.894832,110.8,-3.551982
-3.197219,110.8,-3.551934
3.43273,120.600006,-3.53698
3.08815,120.00001,-3.51943
2.749133,119.50001,-3.504809
-19.697124,119.4,-3.494056
-19.340813,119.200005,-3.488442
2.410807,118.9,-3.487248
-18.969572,118.9,-3.479897
-18.615583,118.700005,-3.474276
2.075747,118.30001,-3.469684
-18.262623,118.50001,-3.468651
-17.910694,118.30001,-3.463023
-17.574665,118.200005,-3.460319
1.745435,117.80001,-3.455047
-17.209925,117.9,-3.451756
1.421471,117.6,-3.449203
-16.875412,117.80001,-3.449045
-16.527332,117.6,-3.443403
1.098594,117.4,-3.443356
-16.180288,117.4,-3.437757
-15.847787,117.30001,-3.435036
-15.502538,117.1,-3.429383
0.774816,116.9,-3.428705
-15.145357,116.80001,-3.420797
-14.815147,116.700005,-3.418064
-14.473008,116.50001,-3.412399
0.453374,116.30001,-3.411116
-14.144054,116.4,-3.409659
-13.80372,116.200005,-3.403987
-13.464424,116.00001,-3.39831
-13.126169,115.80001,-3.392629
-12.800021,115.700005,-3.389874
0.134973,115.50001,-3.387656
-12.474368,115.6,-3.387114
6.749528,127.3,-3.385445
-12.138697,115.4,-3.381421
-11.804072,115.200005,-3.375724
-11.480467,115.1,-3.372952
-11.147663,114.9,-3.367247
-10.825335,114.8,-3.364467
-0.178905,114.600006,-3.361258
6.351987,126.3,-3.358936
-10.494356,114.600006,-3.358753
-10.164427,114.4,-3.353034
-9.835549,114.200005,-3.347311
-9.516065,114.100006,-3.344515
-0.489157,114.00001,-3.343655
5.978902,125.70001,-3.343059
-9.189022,113.90001,-3.338784
-8.863033,113.700005,-3.333047
-0.796832,113.50001,-3.32898
-8.538102,113.50001,-3.327307
-8.221477,113.40001,-3.324493
5.6001,124.90001,-3.321859
-7.898389,113.20001,-3.318744
-1.10275,113.100006,-3.317234
-7.583065,113.100006,-3.315922
-7.261826,112.90001,-3.310163
-6.941648,112.70001,-3.304401
5.229851,124.20001,-3.303312
-1.405232,112.600006,-3.302551
-6.622534,112.5,-3.298633
-6.304485,112.3,-3.292861
4.875215,123.8,-3.29274
-5.992844,112.20001,-3.290017
-1.704978,112.100006,-3.287863
-5.676655,112.0,-3.284236
-5.366331,111.90001,-3.281384
4.519077,123.3,-3.279502
-2.003782,111.70001,-3.276104
-5.052008,111.70001,-3.275593
-4.743007,111.600006,-3.272732
-4.434532,111.5,-3.269865
-2.300394,111.3,-3.264342
-4.122881,111.3,-3.264062
4.162258,122.70001,-3.263601
-3.815736,111.20001,-3.261187
-3.505963,111.0,-3.255374
-2.594813,110.90001,-3.252574
-2.894876,110.8,-3.249601
-3.197268,110.8,-3.249557
3.796219,121.700005,-3.237055
3.441317,120.90001,-3.215824
3.095913,120.30001,-3.199907
2.758373,119.9,-3.189306
2.420979,119.4,-3.17604
-19.697353,119.4,-3.168907
-19.357265,119.30001,-3.16647
2.084549,118.80001,-3.16011
-18.98575,119.00001,-3.158721
-18.631487,118.80001,-3.153623
-18.262844,118.50001,-3.145868
1.749904,118.10001,-3.141515
-17.910912,118.30001,-3.140763
-17.574877,118.200005,-3.138311
1.423909,117.80001,-3.133556
-17.210133,117.9,-3.130545
-16.87562,117.80001,-3.128087
-16.527536,117.6,-3.12297
-16.180487,117.4,-3.117849
1.096738,117.200005,-3.117612
6.91928,130.5,-3.114442
-15.834473,117.200005,-3.112726
-15.489492,117.00001,-3.107598
-15.145548,116.80001,-3.102468
0.772838,116.6,-3.101664
-14.815335,116.700005,-3.09999
-14.473189,116.50001,-3.094852
-14.132084,116.30001,-3.089711
0.452211,116.00001,-3.085711
-13.792016,116.1,-3.084566
-13.464595,116.00001,-3.082074
-13.137673,115.9,-3.079579
-12.800184,115.700005,-3.074423
0.134975,115.50001,-3.072415
-12.474528,115.6,-3.071921
-12.138855,115.4,-3.066758
-11.804226,115.200005,-3.061591
-11.470643,115.00001,-3.05642
-19.30013,115.1,-3.054573
-11.138105,114.8,-3.051245
-0.179064,114.700005,-3.051134
-10.816047,114.700005,-3.048724
-10.485337,114.50001,-3.043542
-10.164561,114.4,-3.041013
-9.83568,114.200005,-3.035823
-0.489593,114.100006,-3.035169
-9.516191,114.100006,-3.033287
-9.189145,113.90001,-3.028089
-8.863153,113.700005,-3.022887
-0.797546,113.600006,-3.02186
-8.538216,113.50001,-3.01768
6.352065,126.3,-3.014283
-8.214337,113.3,-3.01247
-7.898495,113.20001,-3.009915
-1.102766,113.100006,-3.008547
-7.583167,113.100006,-3.007355
-7.261924,112.90001,-3.002133
5.978976,125.70001,-3.000036
-6.941742,112.70001,-2.996906
-1.405251,112.600006,-2.99523
-6.622624,112.5,-2.991675
-6.304571,112.3,-2.986441
